round,acc,t_round_s,n_malicious,agg_norm,honest_norm,norm_ratio,global_norm,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon
15,0.2334,5.645793299998331,6,0.22287316620349884,0.8920202851295471,0.24985212771381227,8.418124198913574,0,0,19,16,12,0.406,0.016
16,0.1959,5.69696169999952,6,0.5261490345001221,0.9090681076049805,0.5787784546598029,8.48332691192627,0,0,22,29,22,0.441,0.029
17,0.3131,5.73096649999934,6,0.3864399492740631,0.8546159863471985,0.4521796402683568,8.546476364135742,0,0,22,26,22,0.472,0.028
18,0.3632,5.843816500000685,6,0.3295711874961853,0.8064102530479431,0.4086892326213906,8.606459617614746,0,0,21,27,21,0.5,0.035
19,0.3886,5.6749975999991875,6,0.30111947655677795,0.7660171985626221,0.3930975402664688,8.669601440429688,0,0,23,28,23,0.525,0.04
20,0.3768,5.708686499998294,6,0.27504491806030273,0.7427636981010437,0.37029935464466696,8.726764678955078,0,0,21,30,21,0.548,0.048
21,0.4095,5.729411099997378,6,0.27327993512153625,0.7370138168334961,0.3707935032963905,8.787541389465332,0,0,18,22,18,0.568,0.045
22,0.4097,5.662020499999926,6,0.24929724633693695,0.7169913649559021,0.34769909167911633,8.839437484741211,0,0,20,26,20,0.587,0.045
23,0.4165,5.671482900001138,6,0.2494022399187088,0.7093791961669922,0.3515781704147946,8.88979721069336,0,0,18,29,18,0.604,0.054
24,0.4359,5.661647500000981,6,0.2395745813846588,0.7177400588989258,0.33379017711814296,8.941766738891602,0,0,18,26,18,0.62,0.058
25,0.4408,5.693361300000106,6,0.24557365477085114,0.7083938717842102,0.34666259061831267,8.989303588867188,0,0,20,30,20,0.635,0.066
26,0.4434,5.66105460000108,6,0.2342812865972519,0.7068941593170166,0.33142342953237663,9.040919303894043,6,0,20,32,20,0.648,0.076
27,0.4546,4.590844099999231,6,0.23077912628650665,0.715481698513031,0.3225507050231048,9.087808609008789,6,0,0,12,0,0.648,0.074
28,0.4581,4.576423700000305,6,0.21778421103954315,0.7093241214752197,0.3070306006041435,9.137104988098145,6,0,0,18,0,0.648,0.078
29,0.4568,4.585617900000216,6,0.20145447552204132,0.7091440558433533,0.2840811734400855,9.178215026855469,6,0,0,14,0,0.648,0.082
30,0.4679,4.652121099999931,6,0.20954467356204987,0.7059141993522644,0.29684156198348854,9.227094650268555,6,0,0,11,0,0.648,0.081
31,0.4839,4.573405499999353,6,0.19144919514656067,0.7165365219116211,0.2671869322666212,9.267416000366211,6,0,0,10,0,0.648,0.079
32,0.4866,4.559031100001448,6,0.17328208684921265,0.6922013163566589,0.2503348126543124,9.315964698791504,6,0,0,8,0,0.648,0.077
33,0.4979,4.603766999996878,6,0.16571438312530518,0.6977217793464661,0.23750782622913763,9.35597038269043,6,0,0,7,0,0.648,0.075
34,0.4985,4.58973960000003,6,0.18866199254989624,0.6888349056243896,0.2738856451806618,9.409799575805664,6,0,0,16,0,0.648,0.077
35,0.4999,4.580996200002119,6,0.16409897804260254,0.7023603916168213,0.23363928262647268,9.455307960510254,6,0,0,14,0,0.648,0.076
36,0.5163,4.462040099999285,6,0.17250587046146393,0.6952748894691467,0.2481117513005178,9.503567695617676,6,0,0,11,0,0.648,0.074
37,0.5145,4.5706446999975014,6,0.16239291429519653,0.6962909698486328,0.2332256503778862,9.543848991394043,6,0,0,10,0,0.648,0.072
38,0.5279,4.570264900001348,6,0.15873610973358154,0.6947709918022156,0.22847256377504296,9.594137191772461,6,0,0,11,0,0.648,0.072
39,0.5264,4.585918100001436,6,0.1580379456281662,0.6912031769752502,0.2286418102413106,9.64392375946045,6,0,0,9,0,0.648,0.071
40,0.5216,4.544753899997886,6,0.17490825057029724,0.6976253390312195,0.2507194632769351,9.692909240722656,6,0,0,14,0,0.648,0.073
41,0.5336,4.561762900000758,6,0.16473184525966644,0.7047526240348816,0.23374420987116903,9.741147994995117,6,0,0,12,0,0.648,0.073
42,0.5388,3.9805596000005607,6,0.16761387884616852,0.71371990442276,0.23484545941272397,9.78902816772461,6,0,0,14,0,0.648,0.072
43,0.5328,2.793463399997563,6,0.1654193252325058,0.6987020969390869,0.23675229537335582,9.84006118774414,6,0,0,13,0,0.648,0.071
44,0.5601,2.7909221000008984,6,0.17091822624206543,0.7125700116157532,0.23986166054688182,9.890280723571777,6,0,0,11,0,0.648,0.069
45,0.5468,2.717822400001751,6,0.16741783916950226,0.7081778645515442,0.23640648423192404,9.943403244018555,6,0,0,10,0,0.648,0.068
46,0.5683,2.742575099997339,6,0.15749260783195496,0.7189486026763916,0.21905962018100547,9.989470481872559,6,0,0,8,0,0.648,0.066
47,0.5643,2.7186696999997366,6,0.15943802893161774,0.7041254043579102,0.22643413793173503,10.04360580444336,6,0,0,8,0,0.648,0.065
48,0.5765,2.701663499999995,6,0.15676218271255493,0.715380847454071,0.2191310869873678,10.09082317352295,6,0,0,17,0,0.648,0.064
49,0.5754,2.7385503000004974,6,0.16404609382152557,0.7069032788276672,0.23206299749179354,10.146100044250488,6,0,0,11,0,0.648,0.062
